Name,Album,Artist
Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
Ships Passing,Ships Passing,Ian Ewing
Been Real,Been Real,Connor Evans
Blue Moon,Close to the Sun,Public Library Commute
GODLESS WOMAN,GODLESS WOMAN,Gun Boi Kaz
Creep,Creep,ORYL
Six Feet Under,Six Feet Under,Billie Eilish
L.A.,ARC 003,Verskotzi
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
Sofa,Sofa,Hannah Ascher
Something to Write About,Standing Still,Ethan Senger
Heather,Kid Krow,Conan Gray
Circles,Hollywood's Bleeding,Post Malone
Loosing Interest,Passion & Confusion,Timmies
High - Slowed + Reverb,High,ORYL
It's You,YOU,Ali Gatie
Where Is My Mind?,Where Is My Mind?,ORYL
Better Now,Better Now,ORYL
Jocelyn Flores,17,XXXTENTACION
Everybody Dies In Their Nightmares,17,XXXTENTACION
Keep You Close,Keep You Close,ORYL
Heartbreak Anniversary,TAKE TIME,Giveon
idfc,deadroses,blackbear
Till Forever Falls Apart,Till Forever Falls Apart,Ashe
Someone Like You,21,Adele
Train Wreck,Back from the Edge,James Arthur
bad ones,TOO YOUNG TO BE SAD,Tate McRae
Arcade,Small Town Boy (Track By Track),Duncan Laurence
Tell Me Goodbye,Tell Me Goodbye,ORYL
r u ok,TOO YOUNG TO BE SAD,Tate McRae
Happier,÷ (Deluxe),Ed Sheeran
7 Years,Lukas Graham,Lukas Graham
slower,slower,Tate McRae
drivers license,drivers license,Olivia Rodrigo
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber
Half A Man,A Place We Knew,Dean Lewis
1-800-273-8255,Everybody,Logic
Let It Go,Chaos And The Calm,James Bay
Spinning,Spinning,Trinity Sander
lovely (with Khalid),lovely (with Khalid),Billie Eilish
changes,?,XXXTENTACION
"i hate u, i love u (feat. olivia o'brien)",us,gnash
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
Kiss You,Kiss You,Steph Devine
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith
You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding
High,High,ORYL
Be Alright,A Place We Knew,Dean Lewis
Can We Kiss Forever?,Can We Kiss Forever?,Kina
If The World Was Ending,If The World Was Ending,JP Saxe
my future,my future,Billie Eilish
Nude,In Rainbows,Radiohead
At My Worst,The Prelude,Pink Sweat$
Fix You,X&Y,Coldplay
XO,i think you think too much of me,EDEN
Coaster,American Teen,Khalid
Not About Angels,Not About Angels,Birdy
Let Her Go,All The Little Lights,Passenger
Save Your Tears,After Hours,The Weeknd
Breathe Me,Colour The Small One,Sia
Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
Let You Down,Perception,NF
Say You Won't Let Go,Back from the Edge,James Arthur
I Need You,I Need You,ORYL
Moonlight,YOU,Ali Gatie
You're Beautiful,Back to Bedlam,James Blunt
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake
Yellow,Parachutes,Coldplay
Feel,Escapology,Robbie Williams
you broke me first,you broke me first,Tate McRae
No Surprises,OK Computer,Radiohead
All of Me,Love In The Future (Expanded Edition),John Legend
you were good to me (bonus track),love is not dying,Jeremy Zucker
Lie,Perception,NF
this is how you fall in love,brent ii,Jeremy Zucker
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi
better off,glisten,Jeremy Zucker
a fireplace,a fireplace,Photography
ATLAS,ATLAS,JOLENE
If You Want Love,Perception,NF
I Fall Apart,Stoney (Deluxe),Post Malone
Skinny Love,Birdy,Birdy
What I Need,What I Need,ORYL
Can I Be Him,Back from the Edge,James Arthur
what did you expect,what did you expect,Brianna Bollinger
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi
Let Me Down Slowly,Narrated For You,Alec Benjamin
Waves,A Place We Knew,Dean Lewis
You Are The Reason,Only Human (Deluxe),Calum Scott
brooklyn boy,brent ii,Jeremy Zucker
One Day,One Day,Tate McRae
July,THE END OF EVERYTHING,Noah Cyrus
Let Go,Let Go,ORYL
All I Want,In A Perfect World (Expanded Edition),Kodaline
Everyone Needs Someone,Everyone Needs Someone,Sebastian Krenz
Fall Apart,Fall Apart,Gidexen
bad habit,bad habit,sorry idk
habits (stay high),habits (stay high),sorry idk
