Name,Album,Artist
All I Want for Christmas Is You,Merry Christmas,Mariah Carey
Last Christmas - Single Version,The Singles: Echoes from the Edge of Heaven,Wham!
Rockin' Around The Christmas Tree,Merry Christmas From Brenda Lee,Brenda Lee
Jingle Bell Rock,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),Bobby Helms
Santa Tell Me,Santa Tell Me,Ariana Grande
It's Beginning to Look a Lot like Christmas,Christmas (Deluxe Special Edition),Michael Bublé
Let It Snow! Let It Snow! Let It Snow!,A Winter Romance,Dean Martin
It's the Most Wonderful Time of the Year,The Andy Williams Christmas Album,Andy Williams
greedy,greedy,Tate McRae
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski
Cruel Summer,Lover,Taylor Swift
Snowman,Everyday Is Christmas (Deluxe Edition),Sia
Underneath the Tree,Wrapped In Red,Kelly Clarkson
Heather,Kid Krow,Conan Gray
Holly Jolly Christmas,Christmas,Michael Bublé
Feliz Navidad,Feliz Navidad,José Feliciano
Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook
Lovin On Me,Lovin On Me,Jack Harlow
You’re Losing Me (From The Vault),You're Losing Me (From The Vault),Taylor Swift
Sleigh Ride,Sleigh Ride,The Ronettes
Mistletoe,Under The Mistletoe (Deluxe Edition),Justin Bieber
Standing Next to You,GOLDEN,Jung Kook
Paint The Town Red,Scarlet,Doja Cat
Si No Estás,Si No Estás,iñigo quintero
Merry Christmas Everyone,Merry Christmas Everyone,Shakin' Stevens
I Wanna Be Yours,AM,Arctic Monkeys
QLONA,MAÑANA SERÁ BONITO (BICHOTA SEASON),KAROL G
PERRO NEGRO,nadie sabe lo que va a pasar mañana,Bad Bunny
Que Onda,Que Onda,Calle 24
HARLEY QUINN,Pa las Baby's Y Belikeada,Fuerza Regida
Strangers,Strangers,Kenya Grace
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd
Happy Xmas (War Is Over) - Remastered 2010,Signature Box,John Lennon
Kill Bill,SOS,SZA
Water,Water,Tyla
A Holly Jolly Christmas,Have A Holly Jolly Christmas,Burl Ives
Driving Home for Christmas,New Light Through Old Windows,Chris Rea
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Christmas Songs by Sinatra,Frank Sinatra
Agora Hills,Scarlet,Doja Cat
MONACO,nadie sabe lo que va a pasar mañana,Bad Bunny
The Christmas Song (Merry Christmas To You),The Christmas Song (Expanded Edition),Nat King Cole
vampire,GUTS,Olivia Rodrigo
Wonderful Christmastime - Edited Version / Remastered 2011,McCartney II (Special Edition),Paul McCartney
Starboy,Starboy,The Weeknd
Según Quién,Don Juan,Maluma
Stick Season,Stick Season,Noah Kahan
Daylight,Daylight,David Kushner
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift
As It Was,Harry's House,Harry Styles
White Christmas - 1947 Version,Holiday Inn (Original Motion Picture Soundtrack),Bing Crosby
